,timestep,depth,Salinity,Theta
658,658,-99.48152,36.259872,24.288988
659,659,-99.63195,36.260345,24.287443
660,660,-99.78238,36.26082,24.285896
661,661,-99.93281,36.261295,24.28435
662,662,-100.08324,36.26177,24.282804
663,663,-100.233665,36.26224,24.281258
664,664,-100.384094,36.262714,24.279713
665,665,-100.534515,36.263187,24.278166
666,666,-100.684944,36.26366,24.27662
667,667,-100.83537,36.264133,24.275074
668,668,-100.9858,36.26461,24.27353
669,669,-101.13623,36.265083,24.271982
670,670,-101.28666,36.265556,24.270435
671,671,-101.43709,36.26603,24.26889
672,672,-101.58752,36.266502,24.267344
673,673,-101.737946,36.266975,24.265799
674,674,-101.88837,36.267452,24.264252
675,675,-102.038795,36.267925,24.262707
676,676,-102.189224,36.2684,24.26116
677,677,-102.33965,36.26887,24.259615
678,678,-102.49008,36.269344,24.258068
679,679,-102.64051,36.269817,24.256521
680,680,-102.79094,36.27029,24.254976
681,681,-102.94137,36.270767,24.25343
682,682,-103.09179,36.27124,24.251884
683,683,-103.24222,36.271713,24.250338
684,684,-103.39265,36.272186,24.248793
685,685,-103.543076,36.27266,24.247246
686,686,-103.693504,36.273132,24.2457
687,687,-103.84393,36.27361,24.244154
688,688,-103.99436,36.274082,24.242609
689,689,-104.14479,36.274555,24.241062
690,690,-104.29521,36.27503,24.239515
